项目名,人数
谷丙转氨酶,2622
尿素,2622
谷草转氨酶,2622
尿酸,2621
总胆固醇,2621
葡萄糖,2621
甘油三酯,2621
谷氨酰转肽酶,2621
白细胞计数.,2607
甲胎蛋白,2606
糖类抗原19-9,2606
癌胚抗原,2605
嗜酸性粒细胞百分比,2599
平均红细胞体积,2599
淋巴细胞计数,2599
嗜碱性粒细胞百分比,2599
平均RBC血红蛋白浓度,2599
红细胞体积分布宽度,2599
中性粒细胞百分比,2599
中性粒细胞计数,2599
单核细胞百分比,2599
血红蛋白浓度,2599
单核细胞计数,2599
嗜碱性粒细胞计数,2599
嗜酸性粒细胞计数,2599
血小板计数,2599
平均RBC血红蛋白含量,2599
血细胞比容,2599
红细胞计数.,2599
淋巴细胞百分比,2599
平均血小板体积,2598
血小板体积分布宽度,2598
血小板比容,2598
颜色,2452
酮体,2430
白细胞,2430
比重,2430
蛋白质,2430
尿糖,2430
胆红素,2430
亚硝酸盐,2430
尿干化学分析,2430
酸碱度,2430
透明度,2430
尿胆原,2430
隐血或红细胞,2430
总前列腺特异抗原,1805
免疫法隐血,1616
肌酸激酶,1238
同型半胱氨酸,1238
超敏C反应蛋白,1238
乙肝核心抗体＊,1027
乙肝e抗体＊,1027
乙肝e抗原＊,1027
乙肝表面抗原＊,1027
乙肝表面抗体＊,1027
糖类抗原125,800
游离前列腺特异抗原,715
f-PSA/t-PSA,711
促甲状腺素,293
三碘甲腺原氨酸,293
糖类抗原72-4,293
四碘甲腺原氨酸,293
游离四碘甲腺原氨酸,293
游离三碘甲腺原氨酸,292
糖化血红蛋白,291
细胞角蛋白19片段,130
胃泌素释放肽前体,130
定量尿沉渣手工镜检,89
钙,16
总胆汁酸,16
白球比值,16
直接胆红素,16
白蛋白,16
碱性磷酸酶,16
胆碱脂酶,16
前白蛋白,16
总蛋白,16
镁,16
磷,16
总胆红素,16
间接胆红素,16
糖化白蛋白%,15
钾,15
胃蛋白酶原II,15
糖化白蛋白,15
免疫球蛋白A,15
钠,15
阴离子间隙,15
氯,15
PG I/PG II,15
免疫球蛋白G,15
免疫球蛋白M,15
胃蛋白酶原I,15
尿肌酐,14
尿微量白蛋白,14
MA:UCREA比值,14
显微镜白细胞分类计数,12
异常结果2,9
异常结果1,8
糖类抗原15-3,3
嗜酸性粒细胞,2
淋巴细胞,2
中性分叶核粒细胞,2
中性杆状核粒细胞,1
单核细胞,1
中性中幼粒细胞,1
红细胞,1
嗜碱性粒细胞,1
